item,condition,sentence,target,alternative
ParkerAn_30_OBLIQUE_S,OBLIQUE_S,The professor who wrote on the test certainly,was,were
ParkerAn_30_CORE_S,CORE_S,The professor who wrote  the test certainly,was,were
ParkerAn_30_OBLIQUE_P,OBLIQUE_P,The professor who wrote on the tests certainly,was,were
ParkerAn_30_CORE_P,CORE_P,The professor who wrote  the tests certainly,was,were
ParkerAn_31_OBLIQUE_S,OBLIQUE_S,The journalist who wrote about the article obviously,was,were
ParkerAn_31_CORE_S,CORE_S,The journalist who wrote  the article obviously,was,were
ParkerAn_31_OBLIQUE_P,OBLIQUE_P,The journalist who wrote about the articles obviously,was,were
ParkerAn_31_CORE_P,CORE_P,The journalist who wrote  the articles obviously,was,were
ParkerAn_32_OBLIQUE_S,OBLIQUE_S,The robber who broke into the drawer apparently,was,were
ParkerAn_32_CORE_S,CORE_S,The robber who broke  the drawer apparently,was,were
ParkerAn_32_OBLIQUE_P,OBLIQUE_P,The robber who broke into the drawers apparently,was,were
ParkerAn_32_CORE_P,CORE_P,The robber who broke  the drawers apparently,was,were
ParkerAn_33_OBLIQUE_S,OBLIQUE_S,The dog that chewed on the bone probably,was,were
ParkerAn_33_CORE_S,CORE_S,The dog that chewed  the bone probably,was,were
ParkerAn_33_OBLIQUE_P,OBLIQUE_P,The dog that chewed on the bones probably,was,were
ParkerAn_33_CORE_P,CORE_P,The dog that chewed  the bones probably,was,were
ParkerAn_34_OBLIQUE_S,OBLIQUE_S,The coach who trained with the athlete definitely,was,were
ParkerAn_34_CORE_S,CORE_S,The coach who trained  the athlete definitely,was,were
ParkerAn_34_OBLIQUE_P,OBLIQUE_P,The coach who trained with the athletes definitely,was,were
ParkerAn_34_CORE_P,CORE_P,The coach who trained  the athletes definitely,was,were
ParkerAn_35_OBLIQUE_S,OBLIQUE_S,The child who walked by the puppy clearly,was,were
ParkerAn_35_CORE_S,CORE_S,The child who walked  the puppy clearly,was,were
ParkerAn_35_OBLIQUE_P,OBLIQUE_P,The child who walked by the puppies clearly,was,were
ParkerAn_35_CORE_P,CORE_P,The child who walked  the puppies clearly,was,were
ParkerAn_36_OBLIQUE_S,OBLIQUE_S,The nurse who called for the doctor clearly,was,were
ParkerAn_36_CORE_S,CORE_S,The nurse who called  the doctor clearly,was,were
ParkerAn_36_OBLIQUE_P,OBLIQUE_P,The nurse who called for the doctors clearly,was,were
ParkerAn_36_CORE_P,CORE_P,The nurse who called  the doctors clearly,was,were
ParkerAn_37_OBLIQUE_S,OBLIQUE_S,The boy who walked by the dog suddenly,was,were
ParkerAn_37_CORE_S,CORE_S,The boy who walked  the dog suddenly,was,were
ParkerAn_37_OBLIQUE_P,OBLIQUE_P,The boy who walked by the dogs suddenly,was,were
ParkerAn_37_CORE_P,CORE_P,The boy who walked  the dogs suddenly,was,were
ParkerAn_38_OBLIQUE_S,OBLIQUE_S,The athlete who ran in the race unsurprisingly,was,were
ParkerAn_38_CORE_S,CORE_S,The athlete who ran  the race unsurprisingly,was,were
ParkerAn_38_OBLIQUE_P,OBLIQUE_P,The athlete who ran in the races unsurprisingly,was,were
ParkerAn_38_CORE_P,CORE_P,The athlete who ran  the races unsurprisingly,was,were
ParkerAn_39_OBLIQUE_S,OBLIQUE_S,The fighter pilot who flew toward the plane definitely,was,were
ParkerAn_39_CORE_S,CORE_S,The fighter pilot who flew  the plane definitely,was,were
ParkerAn_39_OBLIQUE_P,OBLIQUE_P,The fighter pilot who flew toward the planes definitely,was,were
ParkerAn_39_CORE_P,CORE_P,The fighter pilot who flew  the planes definitely,was,were
ParkerAn_40_OBLIQUE_S,OBLIQUE_S,The child who drew on the picture apparently,was,were
ParkerAn_40_CORE_S,CORE_S,The child who drew  the picture apparently,was,were
ParkerAn_40_OBLIQUE_P,OBLIQUE_P,The child who drew on the pictures apparently,was,were
ParkerAn_40_CORE_P,CORE_P,The child who drew  the pictures apparently,was,were
ParkerAn_41_OBLIQUE_S,OBLIQUE_S,The researcher who wrote about the article clearly,was,were
ParkerAn_41_CORE_S,CORE_S,The researcher who wrote  the article clearly,was,were
ParkerAn_41_OBLIQUE_P,OBLIQUE_P,The researcher who wrote about the articles clearly,was,were
ParkerAn_41_CORE_P,CORE_P,The researcher who wrote  the articles clearly,was,were
ParkerAn_42_OBLIQUE_S,OBLIQUE_S,The child who climbed on the tree naturally,was,were
ParkerAn_42_CORE_S,CORE_S,The child who climbed  the tree naturally,was,were
ParkerAn_42_OBLIQUE_P,OBLIQUE_P,The child who climbed on the trees naturally,was,were
ParkerAn_42_CORE_P,CORE_P,The child who climbed  the trees naturally,was,were
ParkerAn_43_OBLIQUE_S,OBLIQUE_S,The actor who read about the script apparently,was,were
ParkerAn_43_CORE_S,CORE_S,The actor who read  the script apparently,was,were
ParkerAn_43_OBLIQUE_P,OBLIQUE_P,The actor who read about the scripts apparently,was,were
ParkerAn_43_CORE_P,CORE_P,The actor who read  the scripts apparently,was,were
ParkerAn_44_OBLIQUE_S,OBLIQUE_S,The dancer who learned about the move clearly,was,were
ParkerAn_44_CORE_S,CORE_S,The dancer who learned  the move clearly,was,were
ParkerAn_44_OBLIQUE_P,OBLIQUE_P,The dancer who learned about the moves clearly,was,were
ParkerAn_44_CORE_P,CORE_P,The dancer who learned  the moves clearly,was,were
ParkerAn_45_OBLIQUE_S,OBLIQUE_S,The reporter who met with the candidate definitely,was,were
ParkerAn_45_CORE_S,CORE_S,The reporter who met  the candidate definitely,was,were
ParkerAn_45_OBLIQUE_P,OBLIQUE_P,The reporter who met with the candidates definitely,was,were
ParkerAn_45_CORE_P,CORE_P,The reporter who met  the candidates definitely,was,were
ParkerAn_46_OBLIQUE_S,OBLIQUE_S,The fan who met with the musician certainly,was,were
ParkerAn_46_CORE_S,CORE_S,The fan who met  the musician certainly,was,were
ParkerAn_46_OBLIQUE_P,OBLIQUE_P,The fan who met with the musicians certainly,was,were
ParkerAn_46_CORE_P,CORE_P,The fan who met  the musicians certainly,was,were
ParkerAn_47_OBLIQUE_S,OBLIQUE_S,The journalist who met with the diplomat undoubtedly,was,were
ParkerAn_47_CORE_S,CORE_S,The journalist who met  the diplomat undoubtedly,was,were
ParkerAn_47_OBLIQUE_P,OBLIQUE_P,The journalist who met with the diplomats undoubtedly,was,were
ParkerAn_47_CORE_P,CORE_P,The journalist who met  the diplomats undoubtedly,was,were
