,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,item,condition,sentence,target,alternative,model correct (max),model correct (sample),target score,alternative score,model 0 correct (max),model 0 correct (sample),model 0 target score,model 0 alternative score,model 1 correct (max),model 1 correct (sample),model 1 target score,model 1 alternative score,model 2 correct (max),model 2 correct (sample),model 2 target score,model 2 alternative score,model 3 correct (max),model 3 correct (sample),model 3 target score,model 3 alternative score,model 4 correct (max),model 4 correct (sample),model 4 target score,model 4 alternative score,lstm 0 correct (max),lstm 0 correct (sample),lstm 0 target score,lstm 0 alternative score,lstm 1 correct (max),lstm 1 correct (sample),lstm 1 target score,lstm 1 alternative score,lstm 2 correct (max),lstm 2 correct (sample),lstm 2 target score,lstm 2 alternative score,lstm 3 correct (max),lstm 3 correct (sample),lstm 3 target score,lstm 3 alternative score,lstm 4 correct (max),lstm 4 correct (sample),lstm 4 target score,lstm 4 alternative score,rnng 0 target score,rnng 0 alternative score,rnng 0 correct (max),rnng 0 correct (sample),rnng 1 target score,rnng 1 alternative score,rnng 1 correct (max),rnng 1 correct (sample),rnng 2 target score,rnng 2 alternative score,rnng 2 correct (max),rnng 2 correct (sample),rnng 3 target score,rnng 3 alternative score,rnng 3 correct (max),rnng 3 correct (sample),rnng 4 target score,rnng 4 alternative score,rnng 4 correct (max),rnng 4 correct (sample)
16,16,16,16,HaskellMacDonald_8_SP,SP,I want to know if the sheet or the blankets,are,is,100,98.03769818789749,-0.6199264526367188,-4.531160354614258,100,78.3956647069502,-1.7456407546997068,-3.034515380859375,100,69.46238076909607,-1.2538928985595703,-2.0757188796997066,100,77.3266195649847,-1.3559503555297852,-2.582797050476074,100,70.18376228199836,-1.4720811843872068,-2.3281450271606445,100,95.1901143692702,-0.8037204742431641,-3.7889232635498047,100,78.3956647069502,-1.7456407546997068,-3.034515380859375,100,69.46238076909607,-1.2538928985595703,-2.0757188796997066,100,77.3266195649847,-1.3559503555297852,-2.582797050476074,100,70.18376228199836,-1.4720811843872068,-2.3281450271606445,100,95.19011436927019,-0.8037204742431641,-3.7889232635498047,-79.9248,-76.9933,0,5.061819233575033,-81.2627,-81.7605,100,62.19421839186708,-83.198,-86.9532,100,97.71390779106852,-81.3025,-78.5998,0,6.281422310238454,-80.1741,-78.9312,0,22.39316021805724
17,17,17,17,HaskellMacDonald_8_PS,PS,I want to know if the sheets or the blanket,are,is,100,94.71960916900623,-0.8979740142822266,-3.7848949432373047,100,86.51614594804934,-1.9787092208862305,-3.8375473022460938,100,72.81229184028362,-1.896444320678711,-2.881564140319824,100,88.11486846718935,-1.3944053649902344,-3.3977584838867188,100,87.83456354275253,-1.3257083892822266,-3.30256462097168,100,90.03438296510465,-1.1599035263061523,-3.3609542846679688,100,86.51614594804934,-1.9787092208862305,-3.8375473022460938,100,72.81229184028362,-1.896444320678711,-2.8815641403198238,100,88.11486846718935,-1.3944053649902344,-3.3977584838867188,100,87.83456354275253,-1.3257083892822266,-3.30256462097168,100,90.03438296510465,-1.1599035263061523,-3.3609542846679688,-77.7976,-80.4583,100,93.4667424543559,-79.4154,-82.6382,100,96.16833238041168,-76.3333,-86.1126,100,99.99433917945053,-77.9728,-81.921,100,98.10756477878304,-78.7657,-79.2898,100,62.81059825737954
18,18,18,18,HaskellMacDonald_9_SP,SP,I need to know if the table or the benches,are,is,100,84.14516939217052,-1.238393783569336,-2.9074630737304688,100,69.77617909125732,-1.4416265487670898,-2.2782888412475586,100,75.63345392787953,-1.2180585861206057,-2.350746154785156,100,70.99424189919785,-1.198007583618164,-2.093111991882324,100,70.99834616562745,-1.5281133651733398,-2.423417091369629,100,96.21833289139185,-0.9608926773071288,-4.197347640991212,100,69.77617909125732,-1.4416265487670898,-2.2782888412475586,100,75.63345392787953,-1.2180585861206057,-2.350746154785156,100,70.99424189919785,-1.198007583618164,-2.0931119918823238,100,70.99834616562745,-1.5281133651733398,-2.423417091369629,100,96.21833289139185,-0.9608926773071288,-4.197347640991212,-76.6059,-83.388,100,99.88673930283382,-86.8676,-89.384,100,92.52835535262668,-87.1084,-88.7247,100,83.4284222291745,-90.3046,-79.2689,0,0.0016115707896882595,-87.1108,-86.6854,0,39.52253023750469
19,19,19,19,HaskellMacDonald_9_PS,PS,I need to know if the tables or the bench,are,is,100,90.9233271332812,-1.558612823486328,-3.862921714782715,100,92.50774127043259,-1.5343236923217771,-4.047745704650879,100,78.3692279180831,-1.363703727722168,-2.651018142700196,100,92.41269765886152,-1.2955236434936523,-3.79531192779541,100,84.78909010618206,-1.320207595825195,-3.0383615493774414,100,92.19101640069836,-1.1163616180419922,-3.584949493408203,100,92.50774127043259,-1.5343236923217771,-4.047745704650879,100,78.3692279180831,-1.363703727722168,-2.6510181427001958,100,92.41269765886152,-1.2955236434936523,-3.79531192779541,100,84.78909010618206,-1.320207595825195,-3.0383615493774414,100,92.19101640069836,-1.1163616180419922,-3.584949493408203,-77.8563,-78.1764,100,57.93486227217106,-81.6714,-85.2844,100,97.3737507826273,-81.7412,-84.771,100,95.3902379235027,-81.0062,-84.5778,100,97.26577726526652,-79.0195,-79.3914,100,59.19180055136138
20,20,20,20,HaskellMacDonald_10_SP,SP,Maria probably knows if the photograph or the paintings,are,is,100,95.97739885384487,-1.2798500061035156,-4.452033996582031,100,72.33922952474587,-1.7614192962646484,-2.7227706909179688,100,78.77821606439528,-1.6712255477905271,-2.9828338623046875,100,53.91336926289112,-2.1217851638793945,-2.2786407470703125,100,81.54297836298964,-1.430185317993164,-2.9158706665039062,100,91.70180443489723,-1.3853912353515625,-3.7878952026367188,100,72.33922952474587,-1.7614192962646484,-2.7227706909179688,100,78.77821606439528,-1.6712255477905271,-2.9828338623046875,100,53.91336926289112,-2.1217851638793945,-2.2786407470703125,100,81.54297836298964,-1.430185317993164,-2.9158706665039062,100,91.70180443489723,-1.3853912353515625,-3.787895202636719,-79.2649,-84.3473,100,99.38332654492235,-86.9094,-91.8233,100,99.27097464808772,-81.8362,-85.2095,100,96.68595932177404,-83.3177,-89.79,100,99.84567187899312,-85.3282,-87.1384,100,85.93860443372957
21,21,21,21,HaskellMacDonald_10_PS,PS,Maria probably knows if the photographs or the painting,are,is,100,95.1788714500475,-1.343475341796875,-4.326225280761719,100,86.47077949690106,-1.4252710342407229,-3.28022575378418,100,82.99300567862555,-1.4993534088134766,-3.0844850540161133,100,80.37260553423975,-1.6337804794311523,-3.0435276031494136,100,88.62214089508137,-1.1993427276611328,-3.2520551681518555,100,88.56003661860625,-1.080129623413086,-3.126697540283203,100,86.47077949690106,-1.4252710342407229,-3.28022575378418,100,82.99300567862555,-1.4993534088134766,-3.0844850540161133,100,80.37260553423975,-1.6337804794311523,-3.0435276031494136,100,88.62214089508137,-1.1993427276611328,-3.2520551681518555,100,88.56003661860625,-1.080129623413086,-3.126697540283203,-83.7053,-84.1366,100,60.61840536641705,-88.5604,-86.2258,0,8.829765585650872,-87.0418,-87.1109,100,51.72681295436008,-87.1455,-89.4033,100,90.5321226780315,-86.1486,-85.0672,0,25.324117109891915
22,22,22,22,HaskellMacDonald_11_SP,SP,It didn't matter to me if the magazine or the books,were,was,100,98.03753489521942,-3.338922500610352,-7.25007152557373,100,88.64790604075819,-2.472146987915039,-4.527417182922363,100,98.40394627243566,-1.7367887496948242,-5.858335494995117,100,89.57675309545326,-2.1872053146362305,-4.3382625579833975,100,91.30606144055392,-2.566887855529785,-4.918478965759277,100,98.75162565618255,-2.2848215103149414,-6.655587196350098,100,88.64790604075819,-2.472146987915039,-4.527417182922363,100,98.40394627243566,-1.7367887496948242,-5.858335494995117,100,89.57675309545326,-2.1872053146362305,-4.3382625579833975,100,91.30606144055392,-2.566887855529785,-4.918478965759277,100,98.75162565618255,-2.2848215103149414,-6.655587196350098,-69.6519,-73.9075,100,98.60138107393567,-68.6837,-70.8166,100,89.40600008620146,-68.7896,-70.0566,100,78.0228764878107,-69.4418,-66.542,0,5.216345067779715,-65.7479,-68.9873,100,96.22903429462285
23,23,23,23,HaskellMacDonald_11_PS,PS,It didn't matter to me if the magazines or the book,were,was,100,94.78990522844576,-3.0612735748291016,-5.962338447570801,100,92.71232491034444,-2.0323028564453125,-4.575619697570801,100,91.85771604034059,-2.193157196044922,-4.616327285766602,100,95.4573907814678,-1.892190933227539,-4.937369346618652,100,97.1792662105448,-2.0098543167114262,-5.54941463470459,100,95.41885973050958,-1.8063812255859373,-4.842709541320801,100,92.71232491034445,-2.0323028564453125,-4.575619697570801,100,91.85771604034059,-2.193157196044922,-4.616327285766602,100,95.4573907814678,-1.892190933227539,-4.937369346618652,100,97.1792662105448,-2.0098543167114262,-5.54941463470459,100,95.41885973050958,-1.8063812255859373,-4.842709541320801,-70.7175,-74.1185,100,96.77357731565122,-68.5736,-69.6522,100,74.62289549192262,-68.2333,-70.1128,100,86.75536848711933,-69.5191,-72.3336,100,94.34543658212858,-65.914,-68.9247,100,95.30551829567963
24,24,24,24,HaskellMacDonald_12_SP,SP,It is hard to tell whether the miner or the truckers,are,is,0,41.26348538244984,-2.226815223693848,-1.87373161315918,0,18.280246985794328,-3.0193986892700195,-1.5219240188598633,0,22.092690385807828,-2.799485206604004,-1.5392122268676758,0,28.925679077012862,-2.9502620697021484,-2.0512657165527344,0,34.004203117195914,-2.4473114013671875,-1.7842044830322266,0,42.17695026791958,-2.5315895080566406,-2.216075897216797,0,18.280246985794328,-3.0193986892700195,-1.5219240188598633,0,22.092690385807828,-2.799485206604004,-1.5392122268676758,0,28.925679077012862,-2.9502620697021484,-2.0512657165527344,0,34.004203117195914,-2.4473114013671875,-1.7842044830322266,0,42.17695026791958,-2.5315895080566406,-2.216075897216797,-80.8531,-83.5328,100,93.58181071772862,-73.0777,-72.9861,0,47.711599856177585,-80.0961,-83.1335,100,95.42354207416105,-72.349,-72.1266,0,44.46280449373192,-76.251,-80.6427,100,98.77717161784443
25,25,25,25,HaskellMacDonald_12_PS,PS,It is hard to tell whether the miners or the trucker,are,is,100,97.26865687810616,-2.2214784622192383,-5.794161796569824,100,94.06290048843165,-2.5075273513793945,-5.270270347595215,100,94.11741478296005,-1.632920265197754,-4.405467033386231,100,95.1830095738258,-1.9537906646728518,-4.9374427795410165,100,91.30634153961759,-2.467254638671875,-4.818881034851074,100,91.48662736437332,-2.199771881103516,-4.574326515197754,100,94.06290048843165,-2.5075273513793945,-5.270270347595215,100,94.11741478296005,-1.6329202651977541,-4.405467033386231,100,95.1830095738258,-1.953790664672852,-4.9374427795410165,100,91.30634153961759,-2.467254638671875,-4.818881034851074,100,91.48662736437332,-2.199771881103516,-4.574326515197754,-89.5096,-91.0585,100,82.47548008756951,-75.4768,-76.7078,100,77.39935497317222,-85.2599,-91.894,100,99.8686964829898,-81.1273,-83.4017,100,90.67345490954045,-86.2407,-87.8142,100,82.82819886656557
